City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
538,rio gallegos,-51.6226,-69.2181,50.05,53,75,14.97,AR,1682631996
539,mosjoen,65.836,13.1908,37.67,87,96,0.0,NO,1682632183
540,mahina,-17.5065,-149.489,85.77,70,75,6.91,PF,1682632183
541,kwang binh,17.4833,106.6,74.82,95,72,5.39,VN,1682632184
542,oppdal,62.5943,9.6912,22.46,95,100,5.08,NO,1682632185
543,urengoy,65.9667,78.3667,21.22,94,100,14.05,RU,1682632185
544,zag,46.9441,99.165,20.34,51,64,5.1,MN,1682632186
545,mossel bay,-34.1831,22.146,62.53,79,84,3.67,ZA,1682632187
546,souillac,-20.5167,57.5167,75.58,83,20,3.44,MU,1682632187
547,usogorsk,63.4106,48.6872,19.78,96,8,4.23,RU,1682632187
548,tadine,-21.55,167.8833,74.5,74,71,18.45,NC,1682632187
549,childress,34.4264,-100.204,66.45,45,0,3.44,US,1682632188
550,nakuru,-0.2833,36.0667,61.48,91,100,3.06,KE,1682632188
551,ola,59.5833,151.2833,31.08,73,1,9.95,RU,1682632188
552,port douglas,-16.4833,145.4667,75.7,74,16,10.27,AU,1682632189
553,lawton,34.6087,-98.3903,62.08,61,100,11.01,US,1682632189
554,santa ana,33.7456,-117.8678,91.71,60,40,9.22,US,1682632189
555,hailar,49.2,119.7,37.65,21,100,7.78,CN,1682632190
556,newman,37.3138,-121.0208,91.29,28,9,3.0,US,1682632190
557,yamoussoukro,6.8206,-5.2767,80.49,83,0,4.61,CI,1682632190
558,tashtyp,52.7939,89.8983,42.3,93,100,5.39,RU,1682632191
559,touros,-5.1989,-35.4608,78.01,88,100,6.2,BR,1682632191
560,al hufuf,25.3646,49.5653,73.74,27,0,6.91,SA,1682632191
561,bargaal,11.2864,51.0773,82.47,67,100,9.19,SO,1682632192
562,banff,51.1762,-115.5698,58.23,18,87,11.5,CA,1682632192
563,kasane,-17.8167,25.15,66.87,50,9,5.08,BW,1682632192
564,tobruk,32.0836,23.9764,61.66,67,0,18.92,LY,1682632193
565,matoury,4.8483,-52.3317,78.76,89,20,4.61,GF,1682632193
566,terra rica,-22.7094,-52.6169,66.54,82,8,6.24,BR,1682632128
567,summerville,33.0185,-80.1757,75.97,74,88,5.99,US,1682632036
568,sao vicente,-23.9631,-46.3919,75.38,51,100,6.91,BR,1682632194
569,labrador city,52.9463,-66.9114,53.51,43,20,8.05,CA,1682631920
570,san patricio,28.017,-97.5169,82.83,58,55,6.6,US,1682632195
571,greymouth,-42.4667,171.2,54.19,71,8,3.76,NZ,1682632195
572,kurumkan,54.3,110.3,31.35,72,64,1.39,RU,1682632195
573,vancouver,49.2497,-123.1193,68.4,64,20,13.8,CA,1682632042
574,manitowoc,44.0667,-87.8001,62.56,61,0,21.85,US,1682632196
575,sanctuary point,-35.1114,150.629,68.99,59,0,5.5,AU,1682632196
576,yuanping,38.7153,112.7575,48.61,72,96,1.25,CN,1682632197
